city,country,latitude,longitude,temperature,average temp cities
Aalborg,Denmark,67.85,9.92,7.52,9.497840376
Aberdeen,United Kingdom,67.25,-2.08,8.10,
Abisko,Sweden,65.00,18.83,0.20,
Adana,Turkey,63.42,35.32,18.67,
Albacete,Spain,63.35,-1.87,12.62,
Algeciras,Spain,61.50,-5.47,17.38,
Amiens,France,60.45,2.30,10.17,
Amsterdam,Netherlands,60.39,4.92,8.93,
Ancona,Italy,60.18,13.50,13.52,
Andorra,Andorra,59.92,1.52,9.60,
Angers,France,59.86,-0.53,10.98,
Ankara,Turkey,59.43,32.86,9.86,
Antalya,Turkey,59.35,30.70,11.88,
Arad,Romania,58.97,21.32,9.32,
Athens,Greece,58.38,23.73,17.41,
Augsburg,Germany,57.75,10.90,4.54,
Bacau,Romania,57.47,26.92,7.51,
Badajoz,Spain,57.17,-6.97,15.61,
Baia Mare,Romania,57.03,23.58,8.87,
Balti,Moldova,56.95,27.91,8.23,
Barcelona,Spain,56.47,2.18,15.78,
Bari,Italy,55.95,16.87,15.15,
Basel,Switzerland,55.88,7.59,6.68,
Batman,Turkey,55.87,41.14,14.16,
Belfast,United Kingdom,55.72,-5.96,8.48,
Belgrade,Serbia,55.58,20.47,9.85,
Bergamo,Italy,55.40,9.67,9.12,
Bergen,Norway,54.95,5.32,1.75,
Berlin,Germany,54.68,13.40,8.72,
Bialystok,Poland,54.60,23.17,6.07,
Bielefeld,Germany,54.52,8.53,8.78,
Bila Tserkva,Ukraine,54.20,30.13,6.98,
Bilbao,Spain,54.19,-2.93,11.41,
Birmingham,United Kingdom,54.07,-1.92,8.81,
Blackpool,United Kingdom,53.90,-3.05,9.15,
Bodo,Norway,53.83,14.40,4.50,
Bologna,Italy,53.80,11.34,11.69,
Bonn,Germany,53.68,7.08,8.63,
Bordeaux,France,53.33,-0.60,11.87,
Botosani,Romania,53.27,26.66,8.23,
Bournemouth,United Kingdom,53.22,-1.90,9.97,
Bradford,United Kingdom,53.15,-1.75,8.39,
Braga,Portugal,53.12,-8.42,13.42,
Braila,Romania,53.08,27.97,9.78,
Bratislava,Slovakia,52.52,17.12,9.65,
Bremen,Germany,52.47,8.80,8.14,
Brest,France,52.41,-4.50,11.02,
Brest,Belarus,52.35,23.70,6.73,
Brno,Czech Republic,52.25,16.61,7.86,
Brugge,Belgium,52.20,3.23,9.65,
Bucharest,Romania,52.13,26.10,10.59,
Budapest,Hungary,52.13,19.08,9.55,
Burgas,Bulgaria,52.10,27.47,11.93,
Burgos,Spain,52.05,-3.68,10.45,
Bursa,Turkey,52.03,29.07,11.16,
Bydgoszcz,Poland,51.90,18.01,7.14,
Bytom,Poland,51.63,18.91,7.66,
Caen,France,51.50,-0.35,9.96,
Cambridge,United Kingdom,51.22,0.12,9.25,
Cartagena,Spain,51.11,-0.98,17.32,
Catania,Italy,50.97,15.08,15.04,
Chemnitz,Germany,50.92,12.92,8.05,
Cherkasy,Ukraine,50.89,32.07,7.19,
Chernihiv,Ukraine,50.85,31.30,5.92,
Chernivtsi,Ukraine,50.83,25.92,7.06,
Chisinau,Moldova,50.73,28.86,8.60,
Constanta,Romania,50.72,28.61,11.24,
Cork,Ireland,50.70,-8.50,9.41,
Cosenza,Italy,50.65,16.29,16.60,
Craiova,Romania,50.62,23.83,10.51,
Daugavpils,Latvia,50.43,26.51,5.38,
Debrecen,Hungary,50.35,21.63,8.87,
Denizli,Turkey,50.25,29.08,15.02,
Dijon,France,50.10,5.03,8.69,
Dublin,Ireland,50.08,-6.25,8.49,
Dundee,United Kingdom,49.90,-3.00,6.40,
Edinburgh,United Kingdom,49.83,-3.22,7.43,
Edirne,Turkey,49.83,26.57,10.90,
Elbasan,Albania,49.77,20.08,15.18,
Elblag,Poland,49.43,19.40,6.68,
Erfurt,Germany,49.42,11.03,7.40,
Erzincan,Turkey,49.25,39.49,8.67,
Erzurum,Turkey,49.20,41.29,5.17,
Eskisehir,Turkey,49.18,30.53,11.11,
Exeter,United Kingdom,49.12,-3.53,10.14,
Foggia,Italy,49.08,15.56,13.83,
Frankfurt,Germany,49.00,8.68,7.98,
Freiburg,Germany,48.77,7.87,6.68,
Galway,Ireland,48.73,-9.05,10.00,
Gaziantep,Turkey,48.39,37.38,13.46,
Geneva,Switzerland,48.35,6.14,8.40,
Genoa,Italy,48.32,8.93,12.94,
Glasgow,United Kingdom,48.31,-4.25,8.60,
Göteborg,Sweden,48.30,12.00,5.76,
Granada,Spain,48.20,-3.59,16.33,
Graz,Austria,48.15,15.41,6.91,
Grenoble,France,48.03,5.72,8.40,
Groningen,Netherlands,48.00,6.58,8.71,
Gyor,Hungary,48.00,17.63,9.65,
Heidelberg,Germany,47.93,8.70,8.47,
Helsinki,Finland,47.81,24.93,4.19,
Horlivka,Ukraine,47.76,38.05,7.12,
Hrodna,Belarus,47.75,23.83,6.07,
Huelva,Spain,47.75,-6.93,17.09,
Ingolstadt,Germany,47.70,11.45,7.57,
Innsbruck,Austria,47.66,11.41,4.54,
Inverness,United Kingdom,47.58,-4.23,8.00,
Istanbul,Turkey,47.53,29.01,13.20,
Kalamata,Greece,47.50,22.11,17.30,
Karaman,Turkey,47.48,33.22,10.41,
Karlsruhe,Germany,47.38,8.40,8.88,
Kaunas,Lithuania,47.33,23.88,6.05,
Kayseri,Turkey,47.28,35.49,8.89,
Kherson,Ukraine,47.08,32.60,8.64,
Kielce,Poland,47.01,20.66,7.29,
Kiev,Ukraine,46.63,30.52,6.88,
Kiruna,Sweden,46.58,20.22,-2.20,
Klaipeda,Lithuania,46.25,21.12,7.00,
Kosice,Slovakia,46.21,21.25,7.31,
Koszalin,Poland,46.17,16.18,7.73,
Kremenchuk,Ukraine,46.06,33.43,7.43,
Kryvyy Rih,Ukraine,45.83,33.34,8.61,
Le Mans,France,45.80,0.10,10.59,
Lille,France,45.70,3.08,9.65,
Limoges,France,45.65,1.25,10.32,
Linz,Austria,45.47,14.29,6.79,
Lisbon,Portugal,45.33,-9.14,15.52,
Ljubljana,Slovenia,45.29,14.51,9.27,
Lvov,Ukraine,45.25,24.03,7.04,
Maastricht,Netherlands,45.20,5.68,8.63,
Madrid,Spain,45.18,-3.68,11.19,
Magdeburg,Germany,44.85,11.62,8.26,
Makiyivka,Ukraine,44.82,37.97,8.70,
Malatya,Turkey,44.50,38.30,14.13,
Malmö,Sweden,44.43,13.03,7.33,
Manisa,Turkey,44.41,27.44,15.10,
Marbella,Spain,44.33,-4.88,17.19,
Marseille,France,44.20,5.38,14.98,
Mazyr,Belarus,43.85,29.27,6.25,
Messina,Italy,43.85,15.55,16.54,
Metz,France,43.72,6.18,8.88,
Milan,Italy,43.62,9.21,6.65,
Minsk,Belarus,43.61,27.57,5.28,
Montpellier,France,43.60,3.87,11.11,
Mulhouse,France,43.52,7.35,6.68,
Murcia,Spain,43.42,-1.13,15.00,
Nice,France,43.38,7.27,8.82,
Nis,Serbia,43.35,21.90,9.36,
Novi Sad,Serbia,43.33,19.85,10.34,
Odense,Denmark,43.29,10.38,7.73,
Ordu,Turkey,43.25,37.87,11.92,
Orsha,Belarus,43.11,30.42,4.93,
Oslo,Norway,42.70,10.75,2.32,
Ostrava,Czech Republic,42.51,18.25,7.66,
Oulu,Finland,42.50,25.47,1.45,
Oviedo,Spain,42.47,-5.83,10.85,
Palermo,Italy,42.46,13.35,17.90,
Patras,Greece,42.42,21.73,16.90,
Perpignan,France,42.35,2.90,10.95,
Perugia,Italy,42.22,12.39,11.70,
Pescara,Italy,42.15,14.22,15.13,
Pinsk,Belarus,42.00,26.09,6.42,
Pleven,Bulgaria,41.90,24.61,10.51,
Plovdiv,Bulgaria,41.67,24.75,8.27,
Podgorica,Montenegro,41.65,19.27,9.99,
Poznan,Poland,41.55,16.90,8.31,
Prague,Czech Republic,41.46,14.47,8.05,
Reims,France,41.43,4.03,9.40,
Riga,Latvia,41.38,24.10,5.16,
Rijeka,Croatia,41.28,14.45,9.27,
Rivne,Ukraine,41.12,26.25,6.76,
Rome,Italy,41.11,12.48,15.10,
Rostock,Germany,41.10,12.15,8.07,
Ruse,Bulgaria,41.00,25.97,10.59,
Salamanca,Spain,40.99,-5.67,11.63,
Salzburg,Austria,40.98,13.04,4.62,
Samsun,Turkey,40.97,36.34,12.05,
Santander,Spain,40.40,-3.80,13.40,
Sarajevo,Bosnia and Herzegovina,40.20,13.38,9.60,
Sibiu,Romania,39.93,24.14,6.97,
Siirt,Turkey,39.92,41.93,12.48,
Sivas,Turkey,39.79,37.03,8.05,
Skopje,Macedonia,39.75,21.43,9.36,
Split,Croatia,39.75,16.47,12.46,
Stara Zagora,Bulgaria,39.56,25.62,10.90,
Stavanger,Norway,39.49,5.68,5.53,
Stockholm,Sweden,39.27,18.10,6.26,
Sumy,Ukraine,39.00,34.78,6.28,
Swansea,United Kingdom,38.88,-3.95,9.73,
Szeged,Hungary,38.73,20.15,10.34,
Tallinn,Estonia,38.72,24.73,4.82,
Tampere,Finland,38.63,23.75,3.59,
Tarsus,Turkey,38.37,34.88,11.21,
Tartu,Estonia,38.23,26.71,4.36,
Tekirdag,Turkey,38.20,27.51,13.02,
Toulouse,France,38.13,1.45,10.25,
Trabzon,Turkey,37.98,39.72,10.28,
Trieste,Italy,37.98,13.80,11.21,
Trikala,Greece,37.94,21.77,16.00,
Trondheim,Norway,37.89,10.42,4.53,
Turku,Finland,37.77,22.25,4.72,
Uppsala,Sweden,37.60,17.64,4.17,
Valencia,Spain,37.50,-0.40,16.02,
Vienna,Austria,37.25,16.37,7.86,
Vigo,Spain,37.18,-8.73,12.85,
Vilnius,Lithuania,37.16,25.32,5.38,
Warsaw,Poland,37.07,21.00,7.20,
Wroclaw,Poland,37.04,17.03,7.17,
Yevpatoriya,Ukraine,36.99,33.36,10.02,
Zaragoza,Spain,36.92,-0.89,14.17,
Zhytomyr,Ukraine,36.89,28.66,6.67,
Zonguldak,Turkey,36.52,31.78,10.64,
Zurich,Switzerland,36.13,8.56,6.68,